-2001140,Mechanical Equipment,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2008013,Air Terminals,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2001160,Plumbing Fixtures,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2000280,Title Blocks,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2001000,Casework,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
1530,CIMLabelGenieTemplate,.lg,CIMLabelGenieTemplate,00000000-0000-0000-0000-000000000000
-2000080,Furniture,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2001350,Specialty Equipment,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2001120,Lighting Fixtures,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2008085,Fire Alarm Devices,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2001040,Electrical Equipment,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2008081,Communication Devices,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2008079,Security Devices,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2008087,Lighting Devices,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2001060,Electrical Fixtures,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2008083,Data Devices,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2008077,Nurse Call Devices,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2008075,Telephone Devices,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2000023,Doors,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2008016,Duct Accessories,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
-2008010,Duct Fittings,.rfa,RevitFamily,00000000-0000-0000-0000-000000000000
5080,AcadSheetSet,.dst,AcadSheetSet,00000000-0000-0000-0000-000000000000
-2000011,Walls,.rvt,RevitProjectElement,00000000-0000-0000-0000-000000000000
-2000279,Views,.rvt,RevitProjectElement,00000000-0000-0000-0000-000000000000
-2000573,Schedules,.rvt,RevitProjectElement,00000000-0000-0000-0000-000000000000
-2000095,IOS Model Groups,.rvt,RevitProjectElement,00000000-0000-0000-0000-000000000000
-2,RevitProjectFile,.rvt,RevitProjectFile,00000000-0000-0000-0000-000000000000
-2000120,Stairs,.rvt,RevitProjectElement,00000000-0000-0000-0000-000000000000
